pair,ligand_gene,receptor_gene,sender_cluster,receiver_cluster,n_sender,n_receiver,mean_score_recv
B2M__Malignant|CD74__Macrophage,B2M,CD74,Malignant,Macrophage,2624,315,54.0959
MIF__Malignant|CD74__Macrophage,MIF,CD74,Malignant,Macrophage,2624,315,42.47905
HLA-B__Malignant|CD74__Macrophage,HLA-B,CD74,Malignant,Macrophage,2624,315,41.75054
HLA-A__Malignant|CD74__Macrophage,HLA-A,CD74,Malignant,Macrophage,2624,315,31.437624
TFF3__Malignant|CD74__Macrophage,TFF3,CD74,Malignant,Macrophage,2624,315,28.273558
APOE__Macrophage|CD74__Malignant,APOE,CD74,Macrophage,Malignant,315,2624,22.85671
HLA-C__Malignant|CD74__Macrophage,HLA-C,CD74,Malignant,Macrophage,2624,315,20.885895
CD24__Malignant|CD74__Macrophage,CD24,CD74,Malignant,Macrophage,2624,315,17.451681
UBA52__Malignant|CD74__Macrophage,UBA52,CD74,Malignant,Macrophage,2624,315,15.707647
PSAP__Macrophage|CD74__Malignant,PSAP,CD74,Macrophage,Malignant,315,2624,14.64865
HLA-DRA__Macrophage|CD74__Malignant,HLA-DRA,CD74,Macrophage,Malignant,315,2624,13.536283
GNAS__Malignant|CD74__Macrophage,GNAS,CD74,Malignant,Macrophage,2624,315,12.756864
APOE__Macrophage|BAMBI__Malignant,APOE,BAMBI,Macrophage,Malignant,315,2624,12.683907
LGALS3BP__Malignant|CD74__Macrophage,LGALS3BP,CD74,Malignant,Macrophage,2624,315,12.306557
FN1__Stroma|CD74__Malignant,FN1,CD74,Stroma,Malignant,768,2624,12.194242
HSPA1A__Malignant|CD74__Macrophage,HSPA1A,CD74,Malignant,Macrophage,2624,315,11.63226
ARF1__Malignant|CD74__Macrophage,ARF1,CD74,Malignant,Macrophage,2624,315,11.013655
CD9__Malignant|CD74__Macrophage,CD9,CD74,Malignant,Macrophage,2624,315,10.423407
EFNA1__Malignant|CD74__Macrophage,EFNA1,CD74,Malignant,Macrophage,2624,315,9.507005
B2M__Malignant|CD81__Stroma,B2M,CD81,Malignant,Stroma,2624,768,8.83234
TNFSF10__Malignant|CD74__Macrophage,TNFSF10,CD74,Malignant,Macrophage,2624,315,8.686795
CALR__Malignant|CD74__Macrophage,CALR,CD74,Malignant,Macrophage,2624,315,8.564533
APOE__Macrophage|CD9__Malignant,APOE,CD9,Macrophage,Malignant,315,2624,8.538836
AZGP1__Malignant|CD74__Macrophage,AZGP1,CD74,Malignant,Macrophage,2624,315,8.169178
B2M__Malignant|CD74__Stroma,B2M,CD74,Malignant,Stroma,2624,768,8.14832
PSAP__Macrophage|BAMBI__Malignant,PSAP,BAMBI,Macrophage,Malignant,315,2624,8.136957
LYZ__Macrophage|CD74__Malignant,LYZ,CD74,Macrophage,Malignant,315,2624,7.79645
HLA-DRA__Macrophage|BAMBI__Malignant,HLA-DRA,BAMBI,Macrophage,Malignant,315,2624,7.544216
BST2__Malignant|CD74__Macrophage,BST2,CD74,Malignant,Macrophage,2624,315,7.219004
MIF__Malignant|CD81__Stroma,MIF,CD81,Malignant,Stroma,2624,768,7.2113395
B2M__Malignant|CD81__Macrophage,B2M,CD81,Malignant,Macrophage,2624,315,7.0665007
IGFBP4__Malignant|CD74__Macrophage,IGFBP4,CD74,Malignant,Macrophage,2624,315,7.0617476
APOE__Macrophage|IL6ST__Malignant,APOE,IL6ST,Macrophage,Malignant,315,2624,6.830066
APOE__Macrophage|CD63__Malignant,APOE,CD63,Macrophage,Malignant,315,2624,6.7804804
HLA-B__Malignant|CD81__Stroma,HLA-B,CD81,Malignant,Stroma,2624,768,6.740477
CXCL14__Malignant|CD74__Macrophage,CXCL14,CD74,Malignant,Macrophage,2624,315,6.7174797
MIF__Malignant|CD74__Stroma,MIF,CD74,Malignant,Stroma,2624,768,6.698412
FN1__Stroma|BAMBI__Malignant,FN1,BAMBI,Stroma,Malignant,768,2624,6.5911856
CDH1__Malignant|CD74__Macrophage,CDH1,CD74,Malignant,Macrophage,2624,315,6.5362
B2M__Malignant|CD63__Macrophage,B2M,CD63,Malignant,Macrophage,2624,315,6.2574677
HLA-B__Malignant|CD74__Stroma,HLA-B,CD74,Malignant,Stroma,2624,768,6.228214
HLA-DRB1__Malignant|CD74__Macrophage,HLA-DRB1,CD74,Malignant,Macrophage,2624,315,5.9528284
MIF__Malignant|CD81__Macrophage,MIF,CD81,Malignant,Macrophage,2624,315,5.54126
PSAP__Macrophage|CD9__Malignant,PSAP,CD9,Macrophage,Malignant,315,2624,5.489616
HLA-B__Malignant|CD81__Macrophage,HLA-B,CD81,Malignant,Macrophage,2624,315,5.449175
CD59__Malignant|CD74__Macrophage,CD59,CD74,Malignant,Macrophage,2624,315,5.1211295
HLA-A__Malignant|CD81__Stroma,HLA-A,CD81,Malignant,Stroma,2624,768,5.1187863
HLA-DRA__Macrophage|CD9__Malignant,HLA-DRA,CD9,Macrophage,Malignant,315,2624,5.049228
APOE__Macrophage|ERBB2__Malignant,APOE,ERBB2,Macrophage,Malignant,315,2624,4.912327
MIF__Malignant|CD63__Macrophage,MIF,CD63,Malignant,Macrophage,2624,315,4.904989
HLA-B__Malignant|CD63__Macrophage,HLA-B,CD63,Malignant,Macrophage,2624,315,4.8306904
TFF3__Malignant|CD81__Stroma,TFF3,CD81,Malignant,Stroma,2624,768,4.8162656
HLA-A__Malignant|CD74__Stroma,HLA-A,CD74,Malignant,Stroma,2624,768,4.7217503
FN1__Stroma|CD9__Malignant,FN1,CD9,Stroma,Malignant,768,2624,4.651903
APOE__Macrophage|ENO1__Malignant,APOE,ENO1,Macrophage,Malignant,315,2624,4.646243
HMGB1__Malignant|CD74__Macrophage,HMGB1,CD74,Malignant,Macrophage,2624,315,4.635582
TFF3__Malignant|CD74__Stroma,TFF3,CD74,Malignant,Stroma,2624,768,4.612323
C1QA__Macrophage|CD74__Malignant,C1QA,CD74,Macrophage,Malignant,315,2624,4.4898777
APOE__Macrophage|CD151__Malignant,APOE,CD151,Macrophage,Malignant,315,2624,4.398495
PSAP__Macrophage|IL6ST__Malignant,PSAP,IL6ST,Macrophage,Malignant,315,2624,4.3773227
LYZ__Macrophage|BAMBI__Malignant,LYZ,BAMBI,Macrophage,Malignant,315,2624,4.3703876
B2M__Malignant|IL6ST__Stroma,B2M,IL6ST,Malignant,Stroma,2624,768,4.3654904
PSAP__Macrophage|CD63__Malignant,PSAP,CD63,Macrophage,Malignant,315,2624,4.3566566
C1QB__Macrophage|CD74__Malignant,C1QB,CD74,Macrophage,Malignant,315,2624,4.3516946
HLA-A__Malignant|CD81__Macrophage,HLA-A,CD81,Malignant,Macrophage,2624,315,4.106309
HLA-DRA__Macrophage|IL6ST__Malignant,HLA-DRA,IL6ST,Macrophage,Malignant,315,2624,4.061677
HLA-DRA__Macrophage|CD63__Malignant,HLA-DRA,CD63,Macrophage,Malignant,315,2624,4.0165873
GRN__Macrophage|CD74__Malignant,GRN,CD74,Macrophage,Malignant,315,2624,3.9881866
CALM1__Malignant|CD74__Macrophage,CALM1,CD74,Malignant,Macrophage,2624,315,3.9610727
B2M__Malignant|TYROBP__Macrophage,B2M,TYROBP,Malignant,Macrophage,2624,315,3.957092
VIM__Macrophage|CD74__Malignant,VIM,CD74,Macrophage,Malignant,315,2624,3.9185019
GPI__Malignant|CD74__Macrophage,GPI,CD74,Malignant,Macrophage,2624,315,3.9163556
MDK__Malignant|CD74__Macrophage,MDK,CD74,Malignant,Macrophage,2624,315,3.6915705
APOE__Macrophage|GFRA1__Malignant,APOE,GFRA1,Macrophage,Malignant,315,2624,3.6759472
TFF3__Malignant|CD81__Macrophage,TFF3,CD81,Malignant,Macrophage,2624,315,3.659346
HLA-A__Malignant|CD63__Macrophage,HLA-A,CD63,Malignant,Macrophage,2624,315,3.6373115
FN1__Stroma|CD63__Malignant,FN1,CD63,Stroma,Malignant,768,2624,3.633702
MIF__Malignant|IL6ST__Stroma,MIF,IL6ST,Malignant,Stroma,2624,768,3.553911
ADAM15__Malignant|CD74__Macrophage,ADAM15,CD74,Malignant,Macrophage,2624,315,3.5385504
FN1__Stroma|CD74__Macrophage,FN1,CD74,Stroma,Macrophage,768,315,3.5273058
FN1__Stroma|IL6ST__Malignant,FN1,IL6ST,Stroma,Malignant,768,2624,3.4957538
APOE__Macrophage|SDC1__Malignant,APOE,SDC1,Macrophage,Malignant,315,2624,3.494874
B2M__Malignant|CD9__Macrophage,B2M,CD9,Malignant,Macrophage,2624,315,3.422361
HLA-C__Malignant|CD81__Stroma,HLA-C,CD81,Malignant,Stroma,2624,768,3.4201171
LAMB2__Malignant|CD74__Macrophage,LAMB2,CD74,Malignant,Macrophage,2624,315,3.400365
B2M__Malignant|CD151__Stroma,B2M,CD151,Malignant,Stroma,2624,768,3.3978782
HLA-B__Malignant|IL6ST__Stroma,HLA-B,IL6ST,Malignant,Stroma,2624,768,3.3434203
B2M__Malignant|ENO1__Macrophage,B2M,ENO1,Malignant,Macrophage,2624,315,3.278587
APOE__Macrophage|FLOT1__Malignant,APOE,FLOT1,Macrophage,Malignant,315,2624,3.2729702
TFF3__Malignant|CD63__Macrophage,TFF3,CD63,Malignant,Macrophage,2624,315,3.257108
B2M__Malignant|ITGB1__Stroma,B2M,ITGB1,Malignant,Stroma,2624,768,3.2366729
B2M__Malignant|CD74__Bcell,B2M,CD74,Malignant,Bcell,2624,20,3.168096
PSAP__Macrophage|ERBB2__Malignant,PSAP,ERBB2,Macrophage,Malignant,315,2624,3.1574574
HLA-C__Malignant|CD74__Stroma,HLA-C,CD74,Malignant,Stroma,2624,768,3.1524718
MIF__Malignant|TYROBP__Macrophage,MIF,TYROBP,Malignant,Macrophage,2624,315,3.1196225
APOE__Macrophage|PLXNB2__Malignant,APOE,PLXNB2,Macrophage,Malignant,315,2624,3.0572426
COPA__Malignant|CD74__Macrophage,COPA,CD74,Malignant,Macrophage,2624,315,3.0565255
HLA-B__Malignant|TYROBP__Macrophage,HLA-B,TYROBP,Malignant,Macrophage,2624,315,3.0502465
CD24__Malignant|CD81__Stroma,CD24,CD81,Malignant,Stroma,2624,768,3.0103185
PSAP__Macrophage|ENO1__Malignant,PSAP,ENO1,Macrophage,Malignant,315,2624,2.9917016
CGA__Malignant|CD74__Macrophage,CGA,CD74,Malignant,Macrophage,2624,315,2.9726164
DAG1__Malignant|CD74__Macrophage,DAG1,CD74,Malignant,Macrophage,2624,315,2.9640846
HLA-DRA__Macrophage|ERBB2__Malignant,HLA-DRA,ERBB2,Macrophage,Malignant,315,2624,2.9071949
APOE__Macrophage|IFITM1__Malignant,APOE,IFITM1,Macrophage,Malignant,315,2624,2.9069426
LYZ__Macrophage|CD9__Malignant,LYZ,CD9,Macrophage,Malignant,315,2624,2.904365
PSAP__Macrophage|CD151__Malignant,PSAP,CD151,Macrophage,Malignant,315,2624,2.8279657
APOE__Macrophage|AMFR__Malignant,APOE,AMFR,Macrophage,Malignant,315,2624,2.8173575
MIF__Malignant|CD151__Stroma,MIF,CD151,Malignant,Stroma,2624,768,2.7838354
CD24__Malignant|CD74__Stroma,CD24,CD74,Malignant,Stroma,2624,768,2.7686684
HLA-DRA__Macrophage|ENO1__Malignant,HLA-DRA,ENO1,Macrophage,Malignant,315,2624,2.7481115
APOE__Macrophage|CD55__Malignant,APOE,CD55,Macrophage,Malignant,315,2624,2.7367828
HLA-C__Malignant|CD81__Macrophage,HLA-C,CD81,Malignant,Macrophage,2624,315,2.7276754
MIF__Malignant|CD9__Macrophage,MIF,CD9,Malignant,Macrophage,2624,315,2.6811843
TIMP3__Stroma|CD74__Malignant,TIMP3,CD74,Stroma,Malignant,768,2624,2.6743252
UBA52__Malignant|CD81__Stroma,UBA52,CD81,Malignant,Stroma,2624,768,2.6636343
MIF__Malignant|ITGB1__Stroma,MIF,ITGB1,Malignant,Stroma,2624,768,2.6499703
FN1__Stroma|ERBB2__Malignant,FN1,ERBB2,Stroma,Malignant,768,2624,2.6480236
HLA-B__Malignant|CD9__Macrophage,HLA-B,CD9,Malignant,Macrophage,2624,315,2.640011
B2M__Malignant|SDC1__Stroma,B2M,SDC1,Malignant,Stroma,2624,768,2.6026313
HLA-DRA__Macrophage|CD151__Malignant,HLA-DRA,CD151,Macrophage,Malignant,315,2624,2.6001856
HLA-B__Malignant|CD151__Stroma,HLA-B,CD151,Malignant,Stroma,2624,768,2.5930645
B2M__Malignant|ITGB2__Macrophage,B2M,ITGB2,Malignant,Macrophage,2624,315,2.5912364
FN1__Stroma|ENO1__Malignant,FN1,ENO1,Stroma,Malignant,768,2624,2.5863645
RTN4__Malignant|CD74__Macrophage,RTN4,CD74,Malignant,Macrophage,2624,315,2.5832844
MIF__Malignant|ENO1__Macrophage,MIF,ENO1,Malignant,Macrophage,2624,315,2.576496
HLA-A__Malignant|IL6ST__Stroma,HLA-A,IL6ST,Malignant,Stroma,2624,768,2.5322144
HLA-B__Malignant|ENO1__Macrophage,HLA-B,ENO1,Malignant,Macrophage,2624,315,2.528498
B2M__Malignant|PLXNB2__Stroma,B2M,PLXNB2,Malignant,Stroma,2624,768,2.5274227
C1QA__Macrophage|BAMBI__Malignant,C1QA,BAMBI,Macrophage,Malignant,315,2624,2.4858634
MIF__Malignant|CD74__Bcell,MIF,CD74,Malignant,Bcell,2624,20,2.4705846
HLA-B__Malignant|ITGB1__Stroma,HLA-B,ITGB1,Malignant,Stroma,2624,768,2.4672601
HLA-B__Malignant|CD74__Bcell,HLA-B,CD74,Malignant,Bcell,2624,20,2.4630687
B2M__Malignant|SDC4__Stroma,B2M,SDC4,Malignant,Stroma,2624,768,2.4606202
UBA52__Malignant|CD74__Stroma,UBA52,CD74,Malignant,Stroma,2624,768,2.444252
FN1__Stroma|CD151__Malignant,FN1,CD151,Stroma,Malignant,768,2624,2.428396
C1QB__Macrophage|BAMBI__Malignant,C1QB,BAMBI,Macrophage,Malignant,315,2624,2.4177613
TFF3__Malignant|IL6ST__Stroma,TFF3,IL6ST,Malignant,Stroma,2624,768,2.41579
HLA-C__Malignant|CD63__Macrophage,HLA-C,CD63,Malignant,Macrophage,2624,315,2.4151995
APOE__Macrophage|PRLR__Malignant,APOE,PRLR,Macrophage,Malignant,315,2624,2.4095957
ALCAM__Malignant|CD74__Macrophage,ALCAM,CD74,Malignant,Macrophage,2624,315,2.3643072
APP__Malignant|CD74__Macrophage,APP,CD74,Malignant,Macrophage,2624,315,2.359755
LYZ__Macrophage|IL6ST__Malignant,LYZ,IL6ST,Macrophage,Malignant,315,2624,2.354183
PSAP__Macrophage|GFRA1__Malignant,PSAP,GFRA1,Macrophage,Malignant,315,2624,2.3525681
B2M__Malignant|ITGB5__Stroma,B2M,ITGB5,Malignant,Stroma,2624,768,2.3478665
LYZ__Macrophage|CD63__Malignant,LYZ,CD63,Macrophage,Malignant,315,2624,2.3177664
HLA-A__Malignant|TYROBP__Macrophage,HLA-A,TYROBP,Malignant,Macrophage,2624,315,2.2988434
COL9A2__Malignant|CD74__Macrophage,COL9A2,CD74,Malignant,Macrophage,2624,315,2.2928112
CD24__Malignant|CD81__Macrophage,CD24,CD81,Malignant,Macrophage,2624,315,2.2816753
PSAP__Macrophage|SDC1__Malignant,PSAP,SDC1,Macrophage,Malignant,315,2624,2.247953
B2M__Malignant|IL6ST__Macrophage,B2M,IL6ST,Malignant,Macrophage,2624,315,2.2365544
GRN__Macrophage|BAMBI__Malignant,GRN,BAMBI,Macrophage,Malignant,315,2624,2.2098055
VIM__Macrophage|BAMBI__Malignant,VIM,BAMBI,Macrophage,Malignant,315,2624,2.190677
HLA-DRA__Macrophage|GFRA1__Malignant,HLA-DRA,GFRA1,Macrophage,Malignant,315,2624,2.1708398
GNAS__Malignant|CD81__Stroma,GNAS,CD81,Malignant,Stroma,2624,768,2.170116
APOE__Macrophage|ATP6AP2__Malignant,APOE,ATP6AP2,Macrophage,Malignant,315,2624,2.1494503
APOE__Macrophage|ADORA2A__Malignant,APOE,ADORA2A,Macrophage,Malignant,315,2624,2.1341603
MIF__Malignant|SDC1__Stroma,MIF,SDC1,Malignant,Stroma,2624,768,2.1302264
PSAP__Macrophage|FLOT1__Malignant,PSAP,FLOT1,Macrophage,Malignant,315,2624,2.0968537
B2M__Malignant|FLOT1__Macrophage,B2M,FLOT1,Malignant,Macrophage,2624,315,2.0862875
TFF3__Malignant|TYROBP__Macrophage,TFF3,TYROBP,Malignant,Macrophage,2624,315,2.0849879
LGALS3BP__Malignant|CD81__Stroma,LGALS3BP,CD81,Malignant,Stroma,2624,768,2.072282
COMP__Stroma|CD74__Malignant,COMP,CD74,Stroma,Malignant,768,2624,2.0689478
HLA-DRA__Macrophage|SDC1__Malignant,HLA-DRA,SDC1,Macrophage,Malignant,315,2624,2.0648491
MIF__Malignant|PLXNB2__Stroma,MIF,PLXNB2,Malignant,Stroma,2624,768,2.0615618
UBA52__Malignant|CD81__Macrophage,UBA52,CD81,Malignant,Macrophage,2624,315,2.0544128
MIF__Malignant|ITGB2__Macrophage,MIF,ITGB2,Malignant,Macrophage,2624,315,2.0445306
FN1__Stroma|GFRA1__Malignant,FN1,GFRA1,Stroma,Malignant,768,2624,2.021192
CD24__Malignant|CD63__Macrophage,CD24,CD63,Malignant,Macrophage,2624,315,2.013745
GNAS__Malignant|CD74__Stroma,GNAS,CD74,Malignant,Stroma,2624,768,2.0102496
B2M__Malignant|FLOT1__Stroma,B2M,FLOT1,Malignant,Stroma,2624,768,2.0074105
MIF__Malignant|SDC4__Stroma,MIF,SDC4,Malignant,Stroma,2624,768,2.005675
HLA-B__Malignant|ITGB2__Macrophage,HLA-B,ITGB2,Malignant,Macrophage,2624,315,1.9980778
HLA-A__Malignant|CD9__Macrophage,HLA-A,CD9,Malignant,Macrophage,2624,315,1.9891113
HSPA1A__Malignant|CD81__Stroma,HSPA1A,CD81,Malignant,Stroma,2624,768,1.9866391
HLA-B__Malignant|SDC1__Stroma,HLA-B,SDC1,Malignant,Stroma,2624,768,1.9826293
LRPAP1__Malignant|CD74__Macrophage,LRPAP1,CD74,Malignant,Macrophage,2624,315,1.9804332
HLA-A__Malignant|CD151__Stroma,HLA-A,CD151,Malignant,Stroma,2624,768,1.9690592
PSAP__Macrophage|PLXNB2__Malignant,PSAP,PLXNB2,Macrophage,Malignant,315,2624,1.9641382
LGALS3BP__Malignant|CD74__Stroma,LGALS3BP,CD74,Malignant,Stroma,2624,768,1.9639521
HLA-DRA__Macrophage|FLOT1__Malignant,HLA-DRA,FLOT1,Macrophage,Malignant,315,2624,1.9439057
HLA-B__Malignant|PLXNB2__Stroma,HLA-B,PLXNB2,Malignant,Stroma,2624,768,1.9344949
MIF__Malignant|ITGB5__Stroma,MIF,ITGB5,Malignant,Stroma,2624,768,1.9233482
FN1__Stroma|SDC1__Malignant,FN1,SDC1,Stroma,Malignant,768,2624,1.9171085
HLA-A__Malignant|ENO1__Macrophage,HLA-A,ENO1,Malignant,Macrophage,2624,315,1.9054406
YBX1__Malignant|CD74__Macrophage,YBX1,CD74,Malignant,Macrophage,2624,315,1.8847461
HLA-B__Malignant|SDC4__Stroma,HLA-B,SDC4,Malignant,Stroma,2624,768,1.878984
ARF1__Malignant|CD81__Stroma,ARF1,CD81,Malignant,Stroma,2624,768,1.8774266
HLA-A__Malignant|ITGB1__Stroma,HLA-A,ITGB1,Malignant,Stroma,2624,768,1.8754177
TFF3__Malignant|CD151__Stroma,TFF3,CD151,Malignant,Stroma,2624,768,1.872225
PSAP__Macrophage|IFITM1__Malignant,PSAP,IFITM1,Macrophage,Malignant,315,2624,1.8692812
HLA-A__Malignant|CD74__Bcell,HLA-A,CD74,Malignant,Bcell,2624,20,1.8487146
B2M__Malignant|NOTCH3__Stroma,B2M,NOTCH3,Malignant,Stroma,2624,768,1.8443254
HSPA1A__Malignant|CD74__Stroma,HSPA1A,CD74,Malignant,Stroma,2624,768,1.8159599
UBA52__Malignant|CD63__Macrophage,UBA52,CD63,Malignant,Macrophage,2624,315,1.8144541
HLA-DRA__Macrophage|PLXNB2__Malignant,HLA-DRA,PLXNB2,Macrophage,Malignant,315,2624,1.8118117
LAMA5__Malignant|CD74__Macrophage,LAMA5,CD74,Malignant,Macrophage,2624,315,1.8092636
B2M__Malignant|SDC4__Macrophage,B2M,SDC4,Malignant,Macrophage,2624,315,1.8065029
PSAP__Macrophage|AMFR__Malignant,PSAP,AMFR,Macrophage,Malignant,315,2624,1.8052123
HLA-B__Malignant|ITGB5__Stroma,HLA-B,ITGB5,Malignant,Stroma,2624,768,1.7929702
APOE__Macrophage|ITGB5__Malignant,APOE,ITGB5,Macrophage,Malignant,315,2624,1.7709392
CD9__Malignant|CD81__Stroma,CD9,CD81,Malignant,Stroma,2624,768,1.7679546
TFF3__Malignant|CD9__Macrophage,TFF3,CD9,Malignant,Macrophage,2624,315,1.7673137
TFF3__Malignant|ITGB1__Stroma,TFF3,ITGB1,Malignant,Stroma,2624,768,1.7647523
PSAP__Macrophage|CD55__Malignant,PSAP,CD55,Macrophage,Malignant,315,2624,1.7619684
HLA-B__Malignant|IL6ST__Macrophage,HLA-B,IL6ST,Malignant,Macrophage,2624,315,1.7352417
ARF1__Malignant|CD74__Stroma,ARF1,CD74,Malignant,Stroma,2624,768,1.7311459
MIF__Malignant|IL6ST__Macrophage,MIF,IL6ST,Malignant,Macrophage,2624,315,1.7303935
HLA-DRA__Macrophage|IFITM1__Malignant,HLA-DRA,IFITM1,Macrophage,Malignant,315,2624,1.7177411
TFF3__Malignant|ENO1__Macrophage,TFF3,ENO1,Malignant,Macrophage,2624,315,1.7101009
FN1__Stroma|FLOT1__Malignant,FN1,FLOT1,Stroma,Malignant,768,2624,1.6933508
HLA-C__Malignant|IL6ST__Stroma,HLA-C,IL6ST,Malignant,Stroma,2624,768,1.689457
THBS1__Stroma|CD74__Malignant,THBS1,CD74,Stroma,Malignant,768,2624,1.6786737
LYZ__Macrophage|ERBB2__Malignant,LYZ,ERBB2,Macrophage,Malignant,315,2624,1.6742283
C1QA__Macrophage|CD9__Malignant,C1QA,CD9,Macrophage,Malignant,315,2624,1.6737924
HLA-DRA__Macrophage|AMFR__Malignant,HLA-DRA,AMFR,Macrophage,Malignant,315,2624,1.6715401
B2M__Malignant|CD44__Macrophage,B2M,CD44,Malignant,Macrophage,2624,315,1.6707212
GNAS__Malignant|CD81__Macrophage,GNAS,CD81,Malignant,Macrophage,2624,315,1.6668195
EFNA1__Malignant|CD81__Stroma,EFNA1,CD81,Malignant,Stroma,2624,768,1.662059
FN1__Stroma|PLXNB2__Malignant,FN1,PLXNB2,Stroma,Malignant,768,2624,1.647674
MIF__Malignant|FLOT1__Stroma,MIF,FLOT1,Malignant,Stroma,2624,768,1.6378525
B2M__Malignant|APLP2__Stroma,B2M,APLP2,Malignant,Stroma,2624,768,1.6226355
CD9__Malignant|CD74__Stroma,CD9,CD74,Malignant,Stroma,2624,768,1.6222916
MIF__Malignant|FLOT1__Macrophage,MIF,FLOT1,Malignant,Macrophage,2624,315,1.6198108
C1QB__Macrophage|CD9__Malignant,C1QB,CD9,Macrophage,Malignant,315,2624,1.6182644
HLA-DRA__Macrophage|CD55__Malignant,HLA-DRA,CD55,Macrophage,Malignant,315,2624,1.6168349
HLA-B__Malignant|FLOT1__Macrophage,HLA-B,FLOT1,Malignant,Macrophage,2624,315,1.6158862
TFF3__Malignant|CD74__Bcell,TFF3,CD74,Malignant,Bcell,2624,20,1.6131456
ANXA2__Macrophage|CD74__Malignant,ANXA2,CD74,Macrophage,Malignant,315,2624,1.6092213
LGALS3BP__Malignant|CD81__Macrophage,LGALS3BP,CD81,Malignant,Macrophage,2624,315,1.5984511
FN1__Stroma|IFITM1__Malignant,FN1,IFITM1,Stroma,Malignant,768,2624,1.5790821
LYZ__Macrophage|ENO1__Malignant,LYZ,ENO1,Macrophage,Malignant,315,2624,1.5784677
PSAP__Macrophage|PRLR__Malignant,PSAP,PRLR,Macrophage,Malignant,315,2624,1.5470482
HLA-B__Malignant|FLOT1__Stroma,HLA-B,FLOT1,Malignant,Stroma,2624,768,1.536339
CD47__Malignant|CD74__Macrophage,CD47,CD74,Malignant,Macrophage,2624,315,1.5354567
HLA-C__Malignant|TYROBP__Macrophage,HLA-C,TYROBP,Malignant,Macrophage,2624,315,1.5275317
HSPA1A__Malignant|CD81__Macrophage,HSPA1A,CD81,Malignant,Macrophage,2624,315,1.5225204
CD44__Malignant|CD74__Macrophage,CD44,CD74,Malignant,Macrophage,2624,315,1.5190662
EFNA1__Malignant|CD74__Stroma,EFNA1,CD74,Malignant,Stroma,2624,768,1.5190513
MIF__Malignant|NOTCH3__Stroma,MIF,NOTCH3,Malignant,Stroma,2624,768,1.5134863
FN1__Stroma|CD55__Malignant,FN1,CD55,Stroma,Malignant,768,2624,1.5097708
HLA-A__Malignant|SDC1__Stroma,HLA-A,SDC1,Malignant,Stroma,2624,768,1.5068173
HLA-A__Malignant|ITGB2__Macrophage,HLA-A,ITGB2,Malignant,Macrophage,2624,315,1.5054749
TNFSF10__Malignant|CD81__Stroma,TNFSF10,CD81,Malignant,Stroma,2624,768,1.5037194
TIMP3__Stroma|BAMBI__Malignant,TIMP3,BAMBI,Stroma,Malignant,768,2624,1.4954627
LYZ__Macrophage|CD151__Malignant,LYZ,CD151,Macrophage,Malignant,315,2624,1.4923185
GRN__Macrophage|CD9__Malignant,GRN,CD9,Macrophage,Malignant,315,2624,1.4899532
GNAS__Malignant|CD63__Macrophage,GNAS,CD63,Malignant,Macrophage,2624,315,1.4730189
VIM__Macrophage|CD9__Malignant,VIM,CD9,Macrophage,Malignant,315,2624,1.4703157
CD24__Malignant|IL6ST__Stroma,CD24,IL6ST,Malignant,Stroma,2624,768,1.4689804
HLA-A__Malignant|PLXNB2__Stroma,HLA-A,PLXNB2,Malignant,Stroma,2624,768,1.4661999
FN1__Stroma|AMFR__Malignant,FN1,AMFR,Stroma,Malignant,768,2624,1.45583
CALR__Malignant|CD81__Stroma,CALR,CD81,Malignant,Stroma,2624,768,1.4506179
F11R__Malignant|CD74__Macrophage,F11R,CD74,Malignant,Macrophage,2624,315,1.4424591
ARF1__Malignant|CD81__Macrophage,ARF1,CD81,Malignant,Macrophage,2624,315,1.4400203
B2M__Malignant|LAMP2__Stroma,B2M,LAMP2,Malignant,Stroma,2624,768,1.4320055
HLA-DRA__Macrophage|PRLR__Malignant,HLA-DRA,PRLR,Macrophage,Malignant,315,2624,1.4290042
B2M__Malignant|ITGB1__Macrophage,B2M,ITGB1,Malignant,Macrophage,2624,315,1.4288981
HLA-A__Malignant|SDC4__Stroma,HLA-A,SDC4,Malignant,Stroma,2624,768,1.4261216
LGALS3BP__Malignant|CD63__Macrophage,LGALS3BP,CD63,Malignant,Macrophage,2624,315,1.4196342
TFF3__Malignant|SDC1__Stroma,TFF3,SDC1,Malignant,Stroma,2624,768,1.4191705
MIF__Malignant|SDC4__Macrophage,MIF,SDC4,Malignant,Macrophage,2624,315,1.410301
HLA-B__Malignant|NOTCH3__Stroma,HLA-B,NOTCH3,Malignant,Stroma,2624,768,1.4086543
AZGP1__Malignant|CD81__Stroma,AZGP1,CD81,Malignant,Stroma,2624,768,1.4082057
TFF3__Malignant|PLXNB2__Stroma,TFF3,PLXNB2,Malignant,Stroma,2624,768,1.397232
HLA-B__Malignant|SDC4__Macrophage,HLA-B,SDC4,Malignant,Macrophage,2624,315,1.3971213
TNFSF10__Malignant|CD74__Stroma,TNFSF10,CD74,Malignant,Stroma,2624,768,1.3914021
LTBP3__Malignant|CD74__Macrophage,LTBP3,CD74,Malignant,Macrophage,2624,315,1.3906332
PSAP__Macrophage|ATP6AP2__Malignant,PSAP,ATP6AP2,Macrophage,Malignant,315,2624,1.3818583
